"jira_key","summary ","id","parent_key","parent_summary","parent_id","issue_type"
"VIDEO-1264","Skin Cancer","12426","","","",""
"VIDEO-1559","Types of Skin Cancer","12747","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1560","What Does Skin Cancer Look Like?","12748","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1561","How to Know if a Mole is Irregular | Skin Cancer","12749","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1562","What is Basal Cell Carcinoma?","12750","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1563","What is Seborrheic Keratosis?","12751","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1564","What Happens During Melanoma Surgery?","12752","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1565","How is Skin Cancer Treated?","12753","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1566","How Do You Know if You Have Melanoma?","12754","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1567","What is Intraocular Melanoma?","12755","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1568","What is the Cause of Melanoma?","12756","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1569","How to Protect Your Skin from Melanoma","12757","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1570","What is Lymphoma of the Skin?","12758","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1571","How Often Should You Get a Skin Check?","12759","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1572","Cures for Skin Cancer","12760","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1573","How to Keep Track of Moles","12761","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1574","Different Types of Skin Cancer","12762","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1575","Where Can You Get Skin Cancer?","12763","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1576","How to Protect the Face from Skin Cancer","12764","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1577","What is a Full Body Exam? | Skin Cancer","12765","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1578","What Warning Signs Does a Doctor Look For | Skin Cancer","12766","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1579","Symptoms of Skin Cancer","12767","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1580","Why is Sun Harmful to Skin?","12768","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1581","Stages of Skin Cancer","12769","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1582","What Does Skin Cancer Feel Like?","12770","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1583","Early Diagnosis of Skin Cancer","12771","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1584","How to Do a Self Check for Skin Cancer","12772","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1585","Odds for Getting Skin Cancer","12773","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1586","Youth and Skin Cancer","12774","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1587","� Why is Early Detection for Melanoma Important?","12775","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1588","What is the Survival Rate for People with Melanoma?","12776","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1589","Can Dark-Skinned Individuals Get Skin Cancer / Melanoma?","12777","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1590","Where Are the Most Common Places to Get Melanoma?","12778","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1591","Should You Wear Sunscreen When the Sun is Not Out?","12779","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1592","Should You Wear Sunscreen Year Round?","12780","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1593","What is the Proper Way to Apply Sunscreen?","12781","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1594","Ways to Protect Yourself from Skin Cancer and Melanoma that are Not Sunscreen","12782","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1595","What is a Dermatoscope?","12783","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1596","Important Questions to Ask Your Dermatologist or Physician","12784","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1597","The Most Common Risk Factors for Melanoma","12785","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1598","�How to Reduce Your Risk of Developing Melanoma or Skin Cancer��","12786","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1599","Is Getting a �Base Tan� Good or Bad for Your Skin?","12787","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1600","How often to Get a Skin Cancer Screenings from a Dermatologist","12788","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1601","Is Indoor Tanning Linked to Skin Cancer?","12789","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1602","What Type of Sun screen Offers the Best Protection?","12790","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1603","Does a Family History of Skin Cancer Increase My Risk?","12791","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1604","Do Bad Sunburns Increase the Risk of Skin Cancer?","12792","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1605","What are the Benefits of Total-Body Photography and Digital Dermoscopy?","12793","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1606","What is an Actinic Keratosis?","12794","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1607","How is Actinic Keratosis Treated?","12795","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1608","What is a Squamous Cell Skin Cancer?","12796","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1609","What is a Dysplastic Mole?�","12797","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1610","�� How is Vitamin D Related to the Sun?","12798","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1611","Are Self-Tanners Safe?","12799","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1612","What is Mohs Surgery?�","12800","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1613","What is a Skin Biopsy?","12801","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1614","� What is Cryosurgery?","12802","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1615","About Me","12803","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1748","Camera A Reel 1","12936","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1749","Camera B Reel 1","12937","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1750","Camera A Reel 2","12938","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1751","Camera B Reel 2","12939","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-2442","About Me","13630","VIDEO-1264","Skin Cancer","12426","Editorial Assets"
"VIDEO-1263","Breakdance Moves","12425","","","",""
"VIDEO-2314","How to Do a Windmill","13502","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2315","How to Do Baby Spins","13503","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2317","How to Do Hand Hops | Breakdance Moves","13505","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2318","How to Do Flares | Breakdance Moves","13506","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2319","How to Do Air Flares | Breakdance Moves","13507","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2321","How to Do 2000s | Breakdance Moves","13509","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2322","How to Do a 1990 | Breakdance Moves","13510","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2323","How to Do Air Chair Spins | Breakdance Moves","13511","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2325","How to Do Elbow Tracks | Breakdance Moves","13513","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2327","Best Headspin Drills | Breakdance Moves","13515","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2328","How to Do a Backspin | Breakdance Moves","13516","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2329","How to Do a Shoulder Spin | Breakdance Moves","13517","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2330","How to Headtrack  | Breakdance Moves","13518","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2331","What is Breakdance?","13519","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2332","Who Can Breakdance?","13520","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2333","What to Wear for Breakdancing","13521","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2334","How to Get Started Breakdancing","13522","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2335","Safety for Breakdancing","13523","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2336","Beginner Breakdance Moves to Master","13524","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2443","How to Do Doughnuts","13631","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-2804","About Me","13992","VIDEO-1263","Breakdance Moves","12425","Editorial Assets"
"VIDEO-1262","Fun Nature Family Crafts","12424","","","",""
"VIDEO-1348","How to Make Nature Collages","12510","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1350","How to Make A Birds Nest from Natural Items","12512","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1351","How to Make Pinecone Ornaments","12513","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1352","How to Paint Fall Leaves","12514","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1353","How to Make A Vine Wreath","12515","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1354","How to Make a Wreath Out of Leaves","12516","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1355","How to Make a Wreath With Berries","12517","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1356","How to Make a Wreath With Hydrangea","12518","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1357","How to Make a Summer Wreath","12519","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1358","How to Make a Countdown Calendar from Nature","12520","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1360","How to Punch Letters out of Leaves","12522","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1361","How to Make a Miniature Nature Shadow Box","12523","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1362","How to Make Painted Rock Crafts","12524","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1363","How to Make Decorative Wrapped Sticks","12525","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1364","How to Print Using Leaves","12526","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1365","How to Use a Leaf as a Stencil","12527","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1366","How to Make Acorn Men","12528","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1367","How to Make a Garland from Autumn Leaves","12529","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1368","How to Make a Mini Terrarium Inside an Egg","12530","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1369","How to Make a Flower Crown","12531","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1370","How to Make Dried Flower Specimen Jars","12532","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1371","How to Preserve Pressed Flowers","12533","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1372","How to Make a Nature Mobile","12534","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1373","How to Make Painted Driftwood","12535","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1374","How to Make a Leaf Mobile","12536","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1375","How to Make Nature Collections in Jars","12537","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1376","How to Press Flowers","12538","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1377","How to Make Paper Flowers","12539","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1378","About Me","12540","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1627","Camera A Reel 1","12815","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1628","Camera B Reel 1","12816","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1629","Camera C Reel 1","12817","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1630","Camera A Reel 2","12818","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1631","Camera B Reel 2","12819","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-1632","Camera C Reel 2","12820","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-2177","How to Weave with a Forked Branch","13365","VIDEO-1262","Fun Nature Family Crafts","12424","Editorial Assets"
"VIDEO-12338","A Dinosaur Mural Perfect for Any Kids Room","24801","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-17031","Dinosaur Nursery Mural - Editorial Assets","29498","VIDEO-12338","A Dinosaur Mural Perfect for Any Kids Room","24801","Editorial Assets"
"VIDEO-12333","How to Make a Colorful Rainbow Grilled Cheese","24695","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12334","Rainbow Grilled Cheese - Editorial Assets","24696","VIDEO-12333","How to Make a Colorful Rainbow Grilled Cheese","24695","Editorial Assets"
"VIDEO-12328","2 Easy Ways to Toast Walnuts","24687","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6314","How to Toast Walnuts - Editorial Assets","17528","VIDEO-12328","2 Easy Ways to Toast Walnuts","24687","Editorial Assets"
"VIDEO-12326","5 Causes of World War I","24683","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6544","The Top 5 Causes That Led to World War I","17768","VIDEO-12326","5 Causes of World War I","24683","Editorial Assets"
"VIDEO-12324","7 Essentials When Asking for a Letter of Recommendation","24680","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12325","7 Essentials When Asking for a Letter of Recommendation - Editorial Assets","24682","VIDEO-12324","7 Essentials When Asking for a Letter of Recommendation","24680","Editorial Assets"
"VIDEO-12323","The 11 Greatest Cartoon Characters of All Time","24679","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6545","Top 50 Cartoon Characters of All Time","17769","VIDEO-12323","The 11 Greatest Cartoon Characters of All Time","24679","Editorial Assets"
"VIDEO-12322","7 Famous African Americans of the 20th Century","24678","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-17045","Famous African Americans - Editorial Assets","29530","VIDEO-12322","7 Famous African Americans of the 20th Century","24678","Editorial Assets"
"VIDEO-12320","A Brief History of the 1990s","24676","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12317","1990s Timeline - Editorial Assets","24673","VIDEO-12320","A Brief History of the 1990s","24676","Editorial Assets"
"VIDEO-6536","1990s Timeline","17760","VIDEO-12320","A Brief History of the 1990s","24676","Editorial Assets"
"VIDEO-12319","8 Fascinating Facts About Pablo Escobar","24675","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12316","Nine Wild Facts About Pablo Escobar - Editorial Assets","24672","VIDEO-12319","8 Fascinating Facts About Pablo Escobar","24675","Editorial Assets"
"VIDEO-6534","Nine Wild Facts About Pablo Escobar","17758","VIDEO-12319","8 Fascinating Facts About Pablo Escobar","24675","Editorial Assets"
"VIDEO-12311","A Brief History of the 1940s","24667","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12312","Brief History of the 1940s Editorial Assets","24668","VIDEO-12311","A Brief History of the 1940s","24667","Editorial Assets"
"VIDEO-12309","9 Fascinating Dinosaur Facts","24665","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12310","9 Surprising Dinosaur Facts - Editorial Assets","24666","VIDEO-12309","9 Fascinating Dinosaur Facts","24665","Editorial Assets"
"VIDEO-12306","Turn a Piña Colada Into an Ice Cream Sandwich","24662","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12307","Pina Colada Ice Cream Sandwich - Editorial Assets","24663","VIDEO-12306","Turn a Piña Colada Into an Ice Cream Sandwich","24662","Editorial Assets"
"VIDEO-12300","Grilled Halloumi and Watermelon Sandwich","24650","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12301","Grilled Halloumi Editorial Assets","24651","VIDEO-12300","Grilled Halloumi and Watermelon Sandwich","24650","Editorial Assets"
"VIDEO-12302","Grilled Halloumi Social Assets","24653","VIDEO-12300","Grilled Halloumi and Watermelon Sandwich","24650","Editorial Assets"
"VIDEO-12298","The Bed That Gets Your Dog Out Of Yours","24648","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12299","MollyMutt Dog Beds Editorial Assets","24649","VIDEO-12298","The Bed That Gets Your Dog Out Of Yours","24648","Editorial Assets"
"VIDEO-12296","This Climate-Controlled Bed Also Makes Itself","24646","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12297","Smart Duvet Editorial Assets","24647","VIDEO-12296","This Climate-Controlled Bed Also Makes Itself","24646","Editorial Assets"
"VIDEO-12294","The Tool That Tricks Your Dog into Loving Baths","24644","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12295","Aquapaw Editorial Assets","24645","VIDEO-12294","The Tool That Tricks Your Dog into Loving Baths","24644","Editorial Assets"
"VIDEO-12292","A Brief History of Impeached Presidents","24640","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12293","Impeachment - All Video Versions and Thumbnails","24641","VIDEO-12292","A Brief History of Impeached Presidents","24640","Editorial Assets"
"VIDEO-12288","The 7 Wonders of the Modern World","24607","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6564","The Seven Wonders of the Modern World","17808","VIDEO-12288","The 7 Wonders of the Modern World","24607","Editorial Assets"
"VIDEO-12286","10 of the Best Soccer Players in the World","24605","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-17043","Best Soccer Players - Editorial Assets","29528","VIDEO-12286","10 of the Best Soccer Players in the World","24605","Editorial Assets"
"VIDEO-12285","How Much is an Olympic Gold Medal Worth?","24604","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12304","Olympic Gold Medal Worth Editorial Assets","24660","VIDEO-12285","How Much is an Olympic Gold Medal Worth?","24604","Editorial Assets"
"VIDEO-12284","Why is Water So Crucial to Body Function?","24603","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6547","How Much of Your Body is Water","17771","VIDEO-12284","Why is Water So Crucial to Body Function?","24603","Editorial Assets"
"VIDEO-12283","Wasps Do Surprisingly Cool Things","24601","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6563","Wine and Wasps","17807","VIDEO-12283","Wasps Do Surprisingly Cool Things","24601","Editorial Assets"
"VIDEO-12282","10 Easy Ways to Help Save the Environment","24600","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12303","Save the Environment Editorial Assets","24659","VIDEO-12282","10 Easy Ways to Help Save the Environment","24600","Editorial Assets"
"VIDEO-12280","What are the Biggest Continents By Area and Population?","24598","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-17046","Biggest Continents - Editorial Assets","29531","VIDEO-12280","What are the Biggest Continents By Area and Population?","24598","Editorial Assets"
"VIDEO-12277","What's the Difference Between Homogeneous and Heterogeneous?","24595","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12305","Homogenous and Heterogenous Editorial Assets","24661","VIDEO-12277","What's the Difference Between Homogeneous and Heterogeneous?","24595","Editorial Assets"
"VIDEO-12276","20 Facts About Hinduism","24594","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31795","20 Facts About Hinduism - Editorial Assets","55198","VIDEO-12276","20 Facts About Hinduism","24594","Editorial Assets"
"VIDEO-12275","What are the Differences Between Acids and Bases?","24593","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-17044","Acids and Bases New - Editorial Assets","29529","VIDEO-12275","What are the Differences Between Acids and Bases?","24593","Editorial Assets"
"VIDEO-12274","A Brief History of the 1970s","24592","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-31792","A Brief History of the 1970s - Editorial Assets","55195","VIDEO-12274","A Brief History of the 1970s","24592","Editorial Assets"
"VIDEO-12273","Where Fruit Flies Come From (and How to Get Rid of Them)","24591","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-6542","Where Do Fruit Flies Come From","17766","VIDEO-12273","Where Fruit Flies Come From (and How to Get Rid of Them)","24591","Editorial Assets"
"VIDEO-12270","Mini Mac Burgers Recipe That Will Rule Your Party","24579","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12271","Mini Macs Editorial Assets","24580","VIDEO-12270","Mini Mac Burgers Recipe That Will Rule Your Party","24579","Editorial Assets"
"VIDEO-12267","Southern BBQ Pulled Pork Tacos with Cornbread Shells","24576","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12268","Pulled Pork Cornbread Taco New Editorial Assets","24577","VIDEO-12267","Southern BBQ Pulled Pork Tacos with Cornbread Shells","24576","Editorial Assets"
"VIDEO-12264","Tostone Steak Sandwich Recipe","24573","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12265","Plantain and Steak Tostones Editorial Assets","24574","VIDEO-12264","Tostone Steak Sandwich Recipe","24573","Editorial Assets"
"VIDEO-12266","Plantain and Steak Tostones Social Assets","24575","VIDEO-12264","Tostone Steak Sandwich Recipe","24573","Editorial Assets"
"VIDEO-12261","Delicious Bacon Cheeseburger Bombs","24570","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12262","Bacon Cheeseburger Bombs Editorial Assets","24571","VIDEO-12261","Delicious Bacon Cheeseburger Bombs","24570","Editorial Assets"
"VIDEO-12258","Bacon-Weaved Cheeseburger in French Fry Waffle Bun Recipe","24567","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12259","Bacon Weaved Cheeseburger on a French Fry Bun Editorial Assets","24568","VIDEO-12258","Bacon-Weaved Cheeseburger in French Fry Waffle Bun Recipe","24567","Editorial Assets"
"VIDEO-12255","Incredible Cinnamon Bun Bacon Breakfast Sandwich","24564","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12256","Ultimate Cinnamon Bun Breakfast Sandwich Editorial Assets","24565","VIDEO-12255","Incredible Cinnamon Bun Bacon Breakfast Sandwich","24564","Editorial Assets"
"VIDEO-12252","Bacon-Wrapped Hot Dog Recipe Covered in Cheesy Waffle Fries","24561","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12253","Bacon Wrapped Loaded Hot Dogs Editorial Assets","24562","VIDEO-12252","Bacon-Wrapped Hot Dog Recipe Covered in Cheesy Waffle Fries","24561","Editorial Assets"
"VIDEO-12249","Mac and Cheese Stuffed Burger Dog Recipe","24558","","","","Use for videos to be published.  One video and one thumbnail per ticket."
"VIDEO-12250","Stuffed Burger Dog Editorial Assets","24559","VIDEO-12249","Mac and Cheese Stuffed Burger Dog Recipe","24558","Editorial Assets"
"VIDEO-12246","Try This Oreo Cheesecake Melt with Nutella and Jam","24555","","","","Use for videos to be published.  One video and one thumbnail per ticket."
